set L := 1 2 3 4 5 6 7 101 102 103 104 105 106 107 108 109 110 201 202 203 204 205 206 207;
set I := 1 2 3 4 5 6 7;
set J := 101 102 103 104 105 106 107 108 109 110;
set K := 201 202 203 204 205 206 207;
set S := small medium large;
set T := deliver return both;
set F := ingest both;
set MaxH := 2;

param Max_Capital_Cost:= 15000000;  #capital investing $ given
param Mile_Cost:= 4;  #mile cost in $ per mile
param Truck_Size:= 6000;  #the max size of a truck in packages
param Load_Cost:= 50;  #the loading cost per truck in $
param Unload_Cost:= 50;  #the unloading cost per truck in $
param Hops:= 2;  #number of hops allowed
param Fixed_Trucks_Cost:= 550; #the min trans cost per truck in $

param capital:= 
101 small 1000000
101 medium 4000000
101 large 10000000
102 small 1000000
102 medium 4000000
102 large 10000000
103 small 1000000
103 medium 4000000
103 large 10000000
104 small 1000000
104 medium 4000000
104 large 10000000
105 small 1000000
105 medium 4000000
105 large 10000000
106 small 1000000
106 medium 4000000
106 large 10000000
107 small 1000000
107 medium 4000000
107 large 10000000
108 small 1000000
108 medium 4000000
108 large 10000000
109 small 1000000
109 medium 4000000
109 large 10000000
110 small 1000000
110 medium 4000000
110 large 10000000;


param utility:=
101 small 500
101 medium 700
101 large 1000
102 small 500
102 medium 700
102 large 1000
103 small 500
103 medium 700
103 large 1000
104 small 500
104 medium 700
104 large 1000
105 small 500
105 medium 700
105 large 1000
106 small 500
106 medium 700
106 large 1000
107 small 500
107 medium 700
107 large 1000
108 small 500
108 medium 700
108 large 1000
109 small 500
109 medium 700
109 large 1000
110 small 500
110 medium 700
110 large 1000;


param distance:=
1 1 0
1 2 111
1 3 130
1 4 0
1 5 154
1 6 99
1 7 114
1 101 36
1 102 467
1 103 130
1 104 135
1 105 137
1 106 171
1 107 151
1 108 305
1 109 319
1 110 118
1 201 131
1 202 52
1 203 151
1 204 252
1 205 254
1 206 194
1 207 172
2 1 111
2 2 0
2 3 235
2 4 111
2 5 266
2 6 211
2 7 62
2 101 82
2 102 552
2 103 193
2 104 176
2 105 29
2 106 60
2 107 253
2 108 402
2 109 426
2 110 222
2 201 19
2 202 162
2 203 240
2 204 178
2 205 363
2 206 259
2 207 169
3 1 130
3 2 235
3 3 0
3 4 130
3 5 83
3 6 54
3 7 244
3 101 152
3 102 444
3 103 200
3 104 139
3 105 263
3 106 294
3 107 142
3 108 267
3 109 249
3 110 12
3 201 254
3 202 78
3 203 58
3 204 329
3 205 184
3 206 240
3 207 282
4 1 0
4 2 111
4 3 130
4 4 0
4 5 154
4 6 99
4 7 114
4 101 36
4 102 467
4 103 130
4 104 135
4 105 137
4 106 171
4 107 151
4 108 305
4 109 319
4 110 118
4 201 131
4 202 52
4 203 151
4 204 252
4 205 254
4 206 194
4 207 172
5 1 154
5 2 266
