set L := Syracuse Buffalo Elizabeth Ithaca;
set I := Syracuse;
set J := Buffalo Elizabeth;
set K := Ithaca;
set S := small medium large;
set T := deliver return both;
set F := ingest both;
set MaxH := 2;

param Max_Capital_Cost:= 15000000;  #capital investing $ given
param Mile_Cost:= 4;  #mile cost in $ per mile
param Truck_Size:= 6000;  #the max size of a truck in packages
param Load_Cost:= 50;  #the loading cost per truck in $
param Unload_Cost:= 50;  #the unloading cost per truck in $
param Hops:= 2;  #number of hops allowed
param Fixed_Trucks_Cost:= 550; #the min trans cost per truck in $

param capital:= 
Buffalo small 1000000
Buffalo medium 4000000
Buffalo large 10000000
Elizabeth small 1000000
Elizabeth medium 4000000
Elizabeth large 10000000;


param utility:=
Buffalo small 500
Buffalo medium 700
Buffalo large 1000
Elizabeth small 500
Elizabeth medium 700
Elizabeth large 1000;


param distance:=
Syracuse Syracuse 0
Syracuse Buffalo 150
Syracuse Elizabeth 245
Syracuse Ithaca 55
Buffalo Buffalo 0
Buffalo Syracuse 150
Buffalo Elizabeth 371
Buffalo Ithaca 155
Elizabeth Elizabeth 0
Elizabeth Buffalo 371
Elizabeth Syracuse 245
Elizabeth Ithaca 221
Ithaca Ithaca 0
Ithaca Buffalo 155
Ithaca Syracuse 55
Ithaca Elizabeth 221;

param hub_capacity:=
small 4800000
medium 14400000
large 28800000;

param package:=
Syracuse Syracuse 0
Syracuse Ithaca 5000000
Ithaca Ithaca 0
Ithaca Syracuse 5000000;

param sorting:=
Elizabeth 0.5
Buffalo 0.5;

