set L := i1 i2 i3 i4 i5 i6 i7 i8 i9 i10 i11 i12 i13 F101 F102 F103 F104 F105 k1 k2 k3 k4 k5 k6 k7 k8 k9 k10 k11 k12 k13;
set I := i1 i2 i3 i4 i5 i6 i7 i8 i9 i10 i11 i12 i13;
set J := F101 F102 F103 F104 F105;
set K := k1 k2 k3 k4 k5 k6 k7 k8 k9 k10 k11 k12 k13;
set S := small medium large;
set T := deliver return both;
set F := ingest both;
set MaxH := 2;

param Max_Capital_Cost:= 15000000;  #capital investing $ given
param Mile_Cost:= 4;  #mile cost in $ per mile
param Truck_Size:= 6000;  #the max size of a truck in packages
param Load_Cost:= 50;  #the loading cost per truck in $
param Unload_Cost:= 50;  #the unloading cost per truck in $
param Hops:= 2;  #number of hops allowed
param Fixed_Trucks_Cost:= 550; #the min trans cost per truck in $

param capital:= 
F101 small 1000000
F101 medium 4000000
F101 large 10000000
F102 small 1000000
F102 medium 4000000
F102 large 10000000
F103 small 1000000
F103 medium 4000000
F103 large 10000000
F104 small 1000000
F104 medium 4000000
F104 large 10000000
F105 small 1000000
F105 medium 4000000
F105 large 10000000;


param utility:=
F101 small 500
F101 medium 700
F101 large 1000
F102 small 500
F102 medium 700
F102 large 1000
F103 small 500
F103 medium 700
F103 large 1000
F104 small 500
F104 medium 700
F104 large 1000
F105 small 500
F105 medium 700
F105 large 1000;


param distance:=
i1 i1 0
i1 i2 579
i1 i3 448
i1 i4 674
i1 i5 454
i1 i6 591
i1 i7 531
i1 i8 705
i1 i9 754
i1 i10 759
i1 i11 747
i1 i12 591
i1 i13 838
i1 F101 557
i1 F102 1056
i1 F103 714
i1 F104 489
i1 F105 533
i1 k1 862
i1 k2 769
i1 k3 811
i1 k4 0
i1 k5 937
i1 k6 693
i1 k7 454
i1 k8 897
i2 i1 579
i2 i2 0
i2 i3 359
i2 i4 105
i2 i5 520
i2 i6 151
i2 i7 240
i2 i8 141
i2 i9 179
i2 i10 183
i2 i11 174
i2 i12 263
i2 i13 268
i2 F101 161
i2 F102 501
i2 F103 247
i2 F104 101
i2 F105 269
i2 k1 293
i2 k2 192
i2 k3 237
i2 k4 579
i2 k5 363
i2 k6 121
i2 k7 520
i2 k8 323
i3 i1 448
i3 i2 359
i3 i3 0
i3 i4 395
i3 i5 161
i3 i6 254
i3 i7 144
i3 i8 408
i3 i9 466
i3 i10 470
i3 i11 455
i3 i12 181
i3 i13 522
i3 F101 220
i3 F102 687
i3 F103 329
i3 F104 271
i3 F105 124
i3 k1 539
i3 k2 485
i3 k3 507
i3 k4 448
i3 k5 617
i3 k6 414
i3 k7 161
i3 k8 578
i4 i1 674
i4 i2 105
i4 i3 395
i4 i4 0
i4 i5 556
i4 i6 145
i4 i7 256
i4 i8 36
i4 i9 80
i4 i10 85
i4 i11 73
i4 i12 254
i4 i13 165
i4 F101 175
i4 F102 396
i4 F103 179
i4 F104 184
i4 F105 282
i4 k1 189
i4 k2 98
i4 k3 136
i4 k4 674
i4 k5 262
i4 k6 20
i4 k7 556
i4 k8 222
i5 i1 454
i5 i2 520
i5 i3 161
i5 i4 556
i5 i5 0
i5 i6 412
i5 i7 301
i5 i8 567
i5 i9 624
i5 i10 628
i5 i11 613
i5 i12 324
