set L := i1 i2 i3 i4 i5 i6 i7 i8 i9 i10 i11 i12 i13 i14 i15 i16 i17 i18 i19 i20 i21 i22 i23 i24 i25 i26 i27 i28 F101 F102 F103 F104 F105 F106 F107 F108 F109 F110 k1 k2 k3 k4 k5 k6 k7 k8 k9 k10 k11 k12 k13 k14 k15 k16 k17 k18 k19 k20 k21 k22 k23 k24 k25 k26 k27 k28 k29 k30 k31 k32 k33 k34 k35 k36 k37 k38 k39 k40 k41 k42 k43 k44 k45 k46 k47 k48 k49 k50 k51 k52 k53 k54 k55 k56 k57 k58 k59 k60 k61 k62 k63 k64 k65 k66 k67 k68 k69 k70 k71 k72 k73 k74 k75 k76;
set I := i1 i2 i3 i4 i5 i6 i7 i8 i9 i10 i11 i12 i13 i14 i15 i16 i17 i18 i19 i20 i21 i22 i23 i24 i25 i26 i27 i28;
set J := F101 F102 F103 F104 F105 F106 F107 F108 F109 F110;
set K := k1 k2 k3 k4 k5 k6 k7 k8 k9 k10 k11 k12 k13 k14 k15 k16 k17 k18 k19 k20 k21 k22 k23 k24 k25 k26 k27 k28 k29 k30 k31 k32 k33 k34 k35 k36 k37 k38 k39 k40 k41 k42 k43 k44 k45 k46 k47 k48 k49 k50 k51 k52 k53 k54 k55 k56 k57 k58 k59 k60 k61 k62 k63 k64 k65 k66 k67 k68 k69 k70 k71 k72 k73 k74 k75 k76;
set S := small medium large;
set T := deliver return both;
set F := ingest both;
set MaxH := 2;

param Max_Capital_Cost:= 15000000;  #capital investing $ given
param Mile_Cost:= 4;  #mile cost in $ per mile
param Truck_Size:= 6000;  #the max size of a truck in packages
param Load_Cost:= 50;  #the loading cost per truck in $
param Unload_Cost:= 50;  #the unloading cost per truck in $
param Hops:= 2;  #number of hops allowed
param Fixed_Trucks_Cost:= 550; #the min trans cost per truck in $

param capital:= 
F101 small 1000000
F101 medium 4000000
F101 large 10000000
F102 small 1000000
F102 medium 4000000
F102 large 10000000
F103 small 1000000
F103 medium 4000000
F103 large 10000000
F104 small 1000000
F104 medium 4000000
F104 large 10000000
F105 small 1000000
F105 medium 4000000
F105 large 10000000
F106 small 1000000
F106 medium 4000000
F106 large 10000000
F107 small 1000000
F107 medium 4000000
F107 large 10000000
F108 small 1000000
F108 medium 4000000
F108 large 10000000
F109 small 1000000
F109 medium 4000000
F109 large 10000000
F110 small 1000000
F110 medium 4000000
F110 large 10000000;


param utility:=
F101 small 500
F101 medium 700
F101 large 1000
F102 small 500
F102 medium 700
F102 large 1000
F103 small 500
F103 medium 700
F103 large 1000
F104 small 500
F104 medium 700
F104 large 1000
F105 small 500
F105 medium 700
F105 large 1000
F106 small 500
F106 medium 700
F106 large 1000
F107 small 500
F107 medium 700
F107 large 1000
F108 small 500
F108 medium 700
F108 large 1000
F109 small 500
F109 medium 700
F109 large 1000
F110 small 500
F110 medium 700
F110 large 1000;


param distance:=
i1 i1 0
i1 i2 579
i1 i3 448
i1 i4 674
i1 i5 454
i1 i6 591
i1 i7 531
i1 i8 705
i1 i9 754
i1 i10 759
i1 i11 747
i1 i12 591
i1 i13 838
i1 i14 627
i1 i15 651
i1 i16 818
i1 i17 780
i1 i18 914
i1 i19 623
i1 i20 729
i1 i21 526
i1 i22 585
i1 i23 1879
i1 i24 697
i1 i25 405
i1 i26 934
i1 i27 632
i1 i28 720
i1 F101 557
i1 F102 1056
i1 F103 714
i1 F104 489
i1 F105 533
i1 F106 509
i1 F107 736
i1 F108 885
i1 F109 877
i1 F110 620
i1 k1 862
i1 k2 769
i1 k3 811
i1 k4 0
i1 k5 937
i1 k6 693
i1 k7 454
i1 k8 897
i1 k9 990
i1 k10 469
i1 k11 745
