,Client,Packages,hops,next,start
0,1,0,0,1,1
1,1,0,1,1,1
2,1,0,2,1,1
3,2,0,0,1,1
4,2,0,1,1,1
5,2,0,2,1,1
6,3,0,0,1,1
7,3,0,1,1,1
8,3,0,2,1,1
9,4,0,0,1,1
10,4,0,1,1,1
11,4,0,2,1,1
12,5,0,0,1,1
13,5,0,1,1,1
14,5,0,2,1,1
15,6,0,0,1,1
16,6,0,1,1,1
17,6,0,2,1,1
18,7,0,0,1,1
19,7,0,1,1,1
20,7,0,2,1,1
21,201,0,0,1,1
22,201,0,1,1,1
23,201,0,2,1,1
24,202,0,0,1,1
25,202,0,1,1,1
26,202,0,2,1,1
27,203,0,0,1,1
28,203,0,1,1,1
29,203,0,2,1,1
30,204,0,0,1,1
31,204,0,1,1,1
32,204,0,2,1,1
33,205,0,0,1,1
34,205,0,1,1,1
35,205,0,2,1,1
36,206,0,0,1,1
37,206,0,1,1,1
38,206,0,2,1,1
39,207,0,0,1,1
40,207,0,1,1,1
41,207,0,2,1,1
42,1,0,0,2,1
43,1,0,1,2,1
44,1,0,2,2,1
45,2,0,0,2,1
46,2,0,1,2,1
47,2,0,2,2,1
48,3,0,0,2,1
49,3,0,1,2,1
50,3,0,2,2,1
51,4,0,0,2,1
52,4,0,1,2,1
53,4,0,2,2,1
54,5,0,0,2,1
55,5,0,1,2,1
56,5,0,2,2,1
57,6,0,0,2,1
58,6,0,1,2,1
59,6,0,2,2,1
60,7,0,0,2,1
61,7,0,1,2,1
62,7,0,2,2,1
63,201,0,0,2,1
64,201,0,1,2,1
65,201,0,2,2,1
66,202,0,0,2,1
67,202,0,1,2,1
68,202,0,2,2,1
69,203,0,0,2,1
70,203,0,1,2,1
71,203,0,2,2,1
72,204,0,0,2,1
73,204,0,1,2,1
74,204,0,2,2,1
75,205,0,0,2,1
76,205,0,1,2,1
77,205,0,2,2,1
78,206,0,0,2,1
79,206,0,1,2,1
80,206,0,2,2,1
81,207,0,0,2,1
82,207,0,1,2,1
83,207,0,2,2,1
84,1,0,0,3,1
85,1,0,1,3,1
86,1,0,2,3,1
87,2,0,0,3,1
88,2,0,1,3,1
89,2,0,2,3,1
90,3,0,0,3,1
91,3,0,1,3,1
92,3,0,2,3,1
93,4,0,0,3,1
94,4,0,1,3,1
95,4,0,2,3,1
96,5,0,0,3,1
97,5,0,1,3,1
98,5,0,2,3,1
99,6,0,0,3,1
100,6,0,1,3,1
101,6,0,2,3,1
102,7,0,0,3,1
103,7,0,1,3,1
104,7,0,2,3,1
105,201,0,0,3,1
106,201,0,1,3,1
107,201,0,2,3,1
108,202,0,0,3,1
109,202,0,1,3,1
110,202,0,2,3,1
111,203,0,0,3,1
112,203,0,1,3,1
113,203,0,2,3,1
114,204,0,0,3,1
115,204,0,1,3,1
116,204,0,2,3,1
117,205,0,0,3,1
118,205,0,1,3,1
119,205,0,2,3,1
120,206,0,0,3,1
121,206,0,1,3,1
122,206,0,2,3,1
123,207,0,0,3,1
124,207,0,1,3,1
125,207,0,2,3,1
126,1,0,0,4,1
127,1,0,1,4,1
128,1,0,2,4,1
129,2,0,0,4,1
130,2,0,1,4,1
131,2,0,2,4,1
132,3,0,0,4,1
133,3,0,1,4,1
134,3,0,2,4,1
135,4,0,0,4,1
136,4,0,1,4,1
137,4,0,2,4,1
138,5,0,0,4,1
139,5,0,1,4,1
140,5,0,2,4,1
141,6,0,0,4,1
142,6,0,1,4,1
143,6,0,2,4,1
144,7,0,0,4,1
145,7,0,1,4,1
146,7,0,2,4,1
147,201,0,0,4,1
148,201,0,1,4,1
149,201,0,2,4,1
150,202,0,0,4,1
151,202,0,1,4,1
152,202,0,2,4,1
153,203,0,0,4,1
154,203,0,1,4,1
155,203,0,2,4,1
156,204,0,0,4,1
157,204,0,1,4,1
158,204,0,2,4,1
159,205,0,0,4,1
160,205,0,1,4,1
161,205,0,2,4,1
162,206,0,0,4,1
163,206,0,1,4,1
164,206,0,2,4,1
165,207,0,0,4,1
166,207,0,1,4,1
167,207,0,2,4,1
168,1,0,0,5,1
169,1,0,1,5,1
170,1,0,2,5,1
171,2,0,0,5,1
172,2,0,1,5,1
173,2,0,2,5,1
174,3,0,0,5,1
175,3,0,1,5,1
176,3,0,2,5,1
177,4,0,0,5,1
178,4,0,1,5,1
179,4,0,2,5,1
180,5,0,0,5,1
181,5,0,1,5,1
182,5,0,2,5,1
183,6,0,0,5,1
184,6,0,1,5,1
185,6,0,2,5,1
186,7,0,0,5,1
187,7,0,1,5,1
188,7,0,2,5,1
189,201,0,0,5,1
190,201,0,1,5,1
191,201,0,2,5,1
192,202,0,0,5,1
193,202,0,1,5,1
194,202,0,2,5,1
195,203,0,0,5,1
196,203,0,1,5,1
197,203,0,2,5,1
198,204,0,0,5,1
199,204,0,1,5,1
200,204,0,2,5,1
201,205,0,0,5,1
202,205,0,1,5,1
203,205,0,2,5,1
204,206,0,0,5,1
205,206,0,1,5,1
206,206,0,2,5,1
207,207,0,0,5,1
208,207,0,1,5,1
209,207,0,2,5,1
210,1,0,0,6,1
211,1,0,1,6,1
212,1,0,2,6,1
213,2,0,0,6,1
214,2,0,1,6,1
215,2,0,2,6,1
216,3,0,0,6,1
217,3,0,1,6,1
218,3,0,2,6,1
219,4,0,0,6,1
220,4,0,1,6,1
221,4,0,2,6,1
222,5,0,0,6,1
223,5,0,1,6,1
224,5,0,2,6,1
225,6,0,0,6,1
226,6,0,1,6,1
227,6,0,2,6,1
228,7,0,0,6,1
229,7,0,1,6,1
230,7,0,2,6,1
231,201,0,0,6,1
232,201,0,1,6,1
233,201,0,2,6,1
234,202,0,0,6,1
235,202,0,1,6,1
236,202,0,2,6,1
