description,zipcrid,zip,state,lat,lon,geometry
,995,995,AK,61.2204045168074,-149.857806799271,"<Point><coordinates>-153.840643,61.707352</coordinates></Point>"
,996,996,AK,62.1847095042252,-159.844799722206,"<Point><coordinates>-154.689991,61.204902</coordinates></Point>"
,997,997,AK,67.1653852105161,-149.565750521068,"<Point><coordinates>-150.498104,66.689913</coordinates></Point>"
,998,998,AK,58.4042334183563,-134.093300246654,"<Point><coordinates>-134.797705,57.965401</coordinates></Point>"
,999,999,AK,55.5666543922493,-131.038793623187,"<Point><coordinates>-131.809527,55.720568</coordinates></Point>"
,350,350,AL,33.58,-86.52,"<Point><coordinates>-86.686178,33.448668</coordinates></Point>"
,351,351,AL,33.28,-87.1,"<Point><coordinates>-86.534236,33.458722</coordinates></Point>"
,352,352,AL,33.52,-86.8,"<Point><coordinates>-86.770883,33.501198</coordinates></Point>"
,354,354,AL,33.2,-87.56,"<Point><coordinates>-87.859848,33.067922</coordinates></Point>"
,355,355,AL,33.87,-87.25,"<Point><coordinates>-87.705641,33.953461</coordinates></Point>"
,356,356,AL,34.59,-86.99,"<Point><coordinates>-87.401524,34.669916</coordinates></Point>"
,357,357,AL,34.98,-86.83,"<Point><coordinates>-86.272284,34.747719</coordinates></Point>"
,358,358,AL,34.73,-86.57,"<Point><coordinates>-86.586034,34.698822</coordinates></Point>"
,359,359,AL,34,-86.01,"<Point><coordinates>-85.93032,34.273266</coordinates></Point>"
,360,360,AL,32.46,-86.71,"<Point><coordinates>-86.096317,32.085391</coordinates></Point>"
,361,361,AL,32.37,-86.3,"<Point><coordinates>-86.275071,32.321061</coordinates></Point>"
,362,362,AL,33.65,-85.84,"<Point><coordinates>-85.651074,33.522965</coordinates></Point>"
,363,363,AL,31.2,-85.42,"<Point><coordinates>-85.556667,31.33991</coordinates></Point>"
,364,364,AL,31.46,-86.93,"<Point><coordinates>-86.969617,31.374436</coordinates></Point>"
,365,365,AL,31.06,-87.49,"<Point><coordinates>-87.949224,31.039507</coordinates></Point>"
,366,366,AL,30.7,-88.04,"<Point><coordinates>-88.192013,30.692315</coordinates></Point>"
,367,367,AL,32.42,-87.02,"<Point><coordinates>-87.350414,32.318658</coordinates></Point>"
